user_name,trail_name
Don Singer,Cholla Loop (H3)
Chris Walker,Cholla Loop (H3)
Jeremy Runyan,Cholla Loop (H3)
Neil Turpin,Cholla Loop (H3)
B. Miner,Cholla Loop (H3)
